,x_col,y_col
1194,-58.119228299999996,-23.348695000000003
1195,-58.1135635,-23.348947
1196,-58.0868339,-23.344797
1197,-58.1059875,-23.35013
1198,-58.1076927,-23.348905
1199,-58.10772320000001,-23.34902
1200,-58.1132507,-23.353061
1201,-58.113513899999994,-23.348939
1202,-58.114303500000005,-23.34905
1203,-58.1135253,-23.348934
1204,-58.1134681,-23.348958
1205,-58.1137962,-23.354118
1206,-58.11097710000001,-23.361824
1207,-58.112335200000004,-23.352722
1208,-58.11222829999999,-23.352722
1209,-58.113437600000005,-23.348644
1210,-58.113437600000005,-23.348674
1211,-58.1144294,-23.347870999999998
1212,-58.1132659,-23.34902
1213,-58.1133079,-23.349027
1214,-58.1130828,-23.348812
1215,-58.11455529999999,-23.347848000000003
1216,-58.113407099999996,-23.348831
1217,-58.1137962,-23.348878
1218,-58.1150207,-23.350054999999998
1219,-58.1150245,-23.351844
1220,-58.117645200000005,-23.352354000000002
1221,-58.115959100000005,-23.353523000000003
1222,-58.118114399999996,-23.353431
1223,-58.12018199999999,-23.354743
1224,-58.11940379999999,-23.353425
1225,-58.116764,-23.351108
1226,-58.115093200000004,-23.35184
1227,-58.114993999999996,-23.351817999999998
1228,-58.1251907,-23.350251999999998
1229,-58.1258544,-23.349889
1230,-58.1337585,-23.35021
1231,-58.1252899,-23.349214
1232,-58.1254196,-23.350126
1233,-58.1253089,-23.350427
1234,-58.12904350000001,-23.349945
1235,-58.119338899999995,-23.360578
1236,-58.125885,-23.349943
1237,-58.119869200000004,-23.347396
1238,-58.119823399999994,-23.347421
1239,-58.119865399999995,-23.347473
1240,-58.1199493,-23.347545
1241,-58.119976,-23.347494
1242,-58.118656099999995,-23.3469
1243,-58.11985010000001,-23.347382999999997
1244,-58.119758600000004,-23.347438
1245,-58.119838699999995,-23.347433
1246,-58.1195297,-23.347099
1247,-58.1195259,-23.347126
1248,-58.132492000000006,-23.350358
1249,-58.1281051,-23.344631
1250,-58.127880000000005,-23.344242
1251,-58.132053299999995,-23.349544
1252,-58.1328926,-23.350305
1253,-58.136070200000006,-23.351799
1254,-58.130123100000006,-23.349109
1255,-58.11985010000001,-23.347412
1256,-58.119811999999996,-23.34741
1257,-58.1194915,-23.347177
1258,-58.11954870000001,-23.347175
1259,-58.11919399999999,-23.346982
1260,-58.124801600000005,-23.354747
1261,-58.1253967,-23.344846
1262,-58.1256294,-23.34477
1263,-58.1301422,-23.351570000000002
1264,-58.1348953,-23.360785999999997
1265,-58.1348762,-23.360167999999998
1266,-58.130016299999994,-23.350744
1267,-58.1196441,-23.34727
1268,-58.11954870000001,-23.347210999999998
1269,-58.1196098,-23.347188
1270,-58.134174300000005,-23.357082000000002
1271,-58.1223449,-23.351243
1272,-58.1196556,-23.347297
1273,-58.11988829999999,-23.34744
1274,-58.1195678,-23.347162
1275,-58.11937710000001,-23.347160000000002
1276,-58.1192932,-23.347118
1277,-58.1563682,-23.347309
1278,-58.153243999999994,-23.355777
